No.,Category,Item,Qty,Est. Price (USD),Description / Notes,Link
1,Switch & Keycap,Gateron Milky Yellow Pro,70 pcs,12,Smooth linear switches with factory lube,https://www.tokopedia.com/mechkeyboardsid/gateron-g-pro-yellow-switch-linear-plate-mount?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-2999811194-130725-RKdhUE
2,Switch & Keycap,Kailh Hot Swap Sockets,70 pcs,5,For hot-swappable MX-style switches,https://www.tokopedia.com/mechkeyboardsid/kailh-hot-swap-mechanical-keyboard-pcb-socket-black?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-2198706891-130725-RKdhUE
3,Switch & Keycap,Keycap Set,1 set,20,"Full keycap set, likely PBT",https://tk.tokopedia.com/ZSBVvFJGR/
4,Switch & Keycap,Stabilizer Set,1 set,10,"For spacebar, shift, enter, etc.",https://tk.tokopedia.com/ZSBpk1MKy/
5,Electronics,Nice!Nano V2 (BLE MCU),2 pcs,45,Wireless controller with ZMK support,https://share.google/yrYyfjcOSs7LEji6q
6,Electronics,LiPo Battery,1 pc,4,Powers the keyboard wirelessly,https://tk.tokopedia.com/ZSBpAFa1Y/
7,Electronics,JST Connector,1 pc,1,Connects battery to PCB,https://tk.tokopedia.com/ZSBpAYkm3/
8,Electronics,1N4148 Diodes (SOD-123),100 pcs,1,For keyboard matrix,https://www.tokopedia.com/i2c-parts/in4148-1n4148-1n4148ws-sod123-switching-diode-sod-123-dioda?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-1509220482-130725-RKdhUE
9,Electronics,10K Slide Potentiometers,10 pcs,1,For analog controls like volume,https://www.tokopedia.com/innovtronic/b10k-mono-slide-potentio-75mm-high-quality?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-344656821-130725-RKdhUE
10,Fasteners,M2.5 6mm Heat Inserts,6 pcs,1,For securing threaded parts in plastic,https://tk.tokopedia.com/ZSBqKcnqk/
11,Fasteners,M2.5 8mm Screws,6 pcs,1,For case and PCB mounting,https://www.tokopedia.com/archive-lapaktukang/baut-komputer-laptop-m2-5x4-m2-5x5-m2-5x6-m2-5x8-m2-5x10-m2-5x8-mm-hitam-d5-7f72b?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-14063028572-140725-RKdhUE
12,Damping & Isolation,EVA Foam 3mm,1 pc,2,For internal case dampening,https://www.tokopedia.com/tentakey/eva-foam-untuk-case-plate-foam-modding-mechanical-keyboard-25x30-2mm-26c32?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-8737440897-140725-RKdhUE
13,Damping & Isolation,Non-slip Feet,1 set,1,Anti-slip support,https://tk.tokopedia.com/ZSBqsCjBn/
14,Assembly,Solder Wire,1 pc,2,For assembling components,https://www.tokopedia.com/mitra-abadi-official/timah-solder-diameter-08-mm-panjang-10-meter?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-60532398-130725-RKdhUE
15,Assembly,Flux,1 pc,1,"Improves solder quality, especially for SMD components",https://www.tokopedia.com/mirorim/flux-minyak-solder-soldering-paste-cream-oil-songka-pasta-rosin-zj-80ml-a851e?utm_source=salinlink&utm_medium=share&utm_campaign=PDP-266238606-11865644997-130725-RKdhUE
16,PCB & Electronics,Custom PCB,5 pcs,5,Custom-designed keyboard circuit board,—
17,Case Components,Case,1 pc,8,One-piece keyboard case,—
18,Case Components,Wristrest,1 pc,12,Wristrest,—
19,Feature Add-on,Passive NFC Tags,1 pack,4,Embedded for automation (e.g. launch phone shortcut),https://tk.tokopedia.com/ZSBVtqGWa/
